                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6362,                 1.6136,                 1.8146,                0.00855,                0.72727,                0.00746,                 0.0038,                 2.9308,                 3406.7,                 38.482,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6148,                 1.5914,                 1.7929,                0.01053,                0.63636,                0.00899,                0.00322,                  2.942,                 961.56,                 21.588,               0.001307,               0.001307,               0.001307
                     37,                 1.5583,                 1.3476,                 1.6715,                0.01053,                0.63636,                0.00899,                0.00322,                  2.942,                 961.56,                 21.588,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.5552,                 1.4341,                 1.7213,                  0.016,                0.18182,                0.01428,                0.00976,                 3.4405,                 234.73,                 16.367,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5661,                 1.5642,                  1.827,                0.01165,                0.54545,                0.00858,                0.00363,                 3.2074,                  811.6,                 40.791,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.609,                 1.4813,                 1.7721,                0.01165,                0.54545,                0.00858,                0.00363,                 3.2074,                  811.6,                 40.791,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5341,                 1.5423,                 1.7089,                0.21503,                0.18182,                0.07983,                0.02471,                 2.5578,                 6.5379,                 3.1754,               0.001208,               0.001208,               0.001208
                     42,                 1.5254,                 1.5051,                 1.7408,                0.21503,                0.18182,                0.07983,                0.02471,                 2.5578,                 6.5379,                 3.1754,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5202,                 1.4327,                 1.7237,                0.05526,                0.18182,                0.05164,                0.01969,                 2.5198,                 14.066,                 3.1035,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4661,                 1.4301,                 1.7277,                0.16736,                0.45455,                0.13482,                0.04979,                 1.9658,                 11.497,                 2.3237,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4853,                 1.5572,                 1.6999,                0.16736,                0.45455,                0.13482,                0.04979,                 1.9658,                 11.497,                 2.3237,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4586,                 1.3607,                 1.6444,                0.11818,                0.45455,                0.09027,                0.05031,                 1.7705,                 15.079,                 1.9386,               0.001109,               0.001109,               0.001109
                     47,                 1.2884,                 1.2164,                 1.5494,                0.03331,                0.63636,                 0.0309,                0.01364,                 2.1411,                 24.182,                 2.1739,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5203,                 1.5016,                 1.7041,                0.03331,                0.63636,                 0.0309,                0.01364,                 2.1411,                 24.182,                 2.1739,              0.0010694,              0.0010694,              0.0010694
